date,alpha,alpha_annual
2023-12-31,0.014949126809457343,0.19489925741541647
2024-01-31,0.008939938882482387,0.11271455014696441
2024-02-29,0.010449340826594392,0.13285555608344612
2024-03-31,0.007914114140752325,0.09921417871380789
2024-04-30,0.007370062365301515,0.09211527394429186
2024-05-31,0.006425387376485962,0.07988871149739052
2024-06-30,0.0034968625322686717,0.042778883113876676
2024-07-31,-0.0025019245220766115,-0.029613385054820585
2024-08-31,0.0055851574110879635,0.06911950695829572
2024-09-30,0.006195022445667001,0.07692627969337584
2024-10-31,0.0011488767823061442,0.013873970443520456
2024-11-30,0.003099588027766255,0.03783574509013787
2024-12-31,0.00319472520412411,0.039017541409287704
