trade_date,industry_code,factor
20171201,农林牧渔,-0.5951789426150226
20171201,采掘,-0.2550718885156189
20171201,化工,-0.6010553824754836
20171201,钢铁,-0.2696301462195745
20171201,有色金属,0.16377635096941334
20171201,电子,-0.4063559840617526
20171201,汽车,-0.7198000987382668
20171201,家用电器,-0.5925557717522842
20171201,食品饮料,0.45373770933326923
20171201,纺织服装,0.1903709486366563
20171201,轻工制造,0.7690317945151658
20171201,医药生物,-1.2728521297018738
20171201,公用事业,-0.7771077778836343
20171201,交通运输,-0.13597280206817736
20171201,房地产,-0.4343148512959093
20171201,商业贸易,-0.5189001972680303
20171201,休闲服务,0.3135374730332937
20171201,银行,-0.19135020501320718
20171201,非银金融,0.7644860925763723
20171201,建筑材料,-0.28733919299250016
20171201,建筑装饰,0.5888782283810869
20171201,电气设备,0.046211792314929036
20171201,国防军工,-0.22858051118403422
20171201,计算机,-0.12850746378216207
20171201,传媒,-0.4656590808618184
20171201,通信,-0.8184389543321353
20171201,机械设备,-0.014482768819961911
20171204,农林牧渔,-0.04045194825347179
20171204,采掘,0.05875921290949215
20171204,化工,-0.0682399588165845
20171204,钢铁,0.3286272229376964
20171204,有色金属,0.7372663271565062
20171204,电子,1.0234444719482538
20171204,汽车,0.40889071575399727
20171204,家用电器,-0.2301757917302264
20171204,食品饮料,-0.24171449813697088
20171204,纺织服装,0.2668976171097839
20171204,轻工制造,-0.1366117143784487
20171204,医药生物,-0.10466607095261027
20171204,公用事业,0.2945327151838531
20171204,交通运输,0.6705041347710112
20171204,房地产,-0.011301163072013246
20171204,商业贸易,0.37008289042634107
20171204,休闲服务,-0.3232292909252032
20171204,银行,0.19999919532425403
20171204,非银金融,0.33071899620587797
20171204,建筑材料,-0.4473218777503719
20171204,建筑装饰,-0.5739078450348128
20171204,电气设备,0.37868257768394614
20171204,国防军工,-0.5035777017909445
20171204,计算机,0.262082831888641
20171204,传媒,0.036874838345873434
20171204,通信,-0.34181579993893435
20171204,机械设备,-0.06577603978578778
20171205,农林牧渔,-0.6800966006215907
20171205,采掘,-0.49063819168918105
20171205,化工,0.02217476557651913
20171205,钢铁,-0.3238473211326097
20171205,有色金属,-0.3858442837652977
20171205,电子,0.10163202005666572
20171205,汽车,0.13603000945009594
20171205,家用电器,0.11224653517145099
20171205,食品饮料,0.495540140106851
20171205,纺织服装,-0.6489859561900317
20171205,轻工制造,0.2201037299468055
20171205,医药生物,0.343490546263382
20171205,公用事业,0.7378783043996029
20171205,交通运输,-0.10511417304839235
20171205,房地产,0.06089933064446558
20171205,商业贸易,1.0717823693512876
20171205,休闲服务,-0.2824777925339588
20171205,银行,-0.3286434795848758
20171205,非银金融,0.7162678038877496
20171205,建筑材料,-0.422373938857615
20171205,建筑装饰,1.1062123626689992
20171205,电气设备,-0.97375377927418
20171205,国防军工,-0.1643129202590312
20171205,计算机,0.13615153215080406
20171205,传媒,-0.17391536792567247
20171205,通信,0.82736644657281
20171205,机械设备,0.22711897140461895
20171206,农林牧渔,0.8434855069431657
20171206,采掘,-0.36668029645730477
20171206,化工,0.8959231258079382
20171206,钢铁,-0.5879252533469734
20171206,有色金属,-0.6739858534276847
20171206,电子,-0.012972890229727307
20171206,汽车,1.1734009846769935
20171206,家用电器,0.1870158212515195
