stock_code,stock_name,market_cap,size_score_y,size_style,vg_score_x,vg_style,pct
002475,立讯精密,450000000000.0,411.6880907032473,大盘,340.00000000000006,成长型,9.56
601899,紫金矿业,380000000000.0,396.583313398623,大盘,60.00000000000003,价值型,8.72
600309,万华化学,320000000000.0,381.2307217026405,大盘,200.00000000000006,成长型,7.89
002415,海康威视,280000000000.0,369.3014235670251,大盘,100.00000000000003,价值型,6.45
603259,药明康德,220000000000.0,347.75672146947124,大盘,420.0000000000001,成长型,5.82
000333,美的集团,480000000000.0,417.45377055387746,大盘,180.00000000000003,成长型,5.21
600036,招商银行,850000000000.0,468.5054387439346,大盘,20.000000000000007,价值型,4.89
601318,中国平安,720000000000.0,453.6768194051149,大盘,80.00000000000003,价值型,4.56
002352,顺丰控股,180000000000.0,329.82939736838455,大盘,220.00000000000003,成长型,3.98
600519,贵州茅台,1500000000000.0,519.2474462052382,大盘,120.00000000000004,价值型,3.45
