,沪深300,中证500,创业板指,国债指数,工业品指数,黄金指数
2011-01-31,0.03283570765056164,-0.049432179507841296,0.16055093379088436,0.024898029332176722,-0.02102570276487308,-0.046773938891444586
2011-02-28,0.0010867849414407669,-0.023977863776166314,0.08427256823858029,-0.005082982853551515,-0.01448501535058784,0.049886509583818406
2011-03-31,0.040384426905034625,0.01597908190525847,-0.09435589761678095,-0.00539721842180776,-0.018695756969554767,-0.0007402369573696827
2011-04-30,0.08415149282040127,-0.020208539246971954,-0.021896385100637596,-0.0029939264544402216,-0.029559630787192644,-0.008806432098422601
2011-05-31,-0.0037076687361667984,-0.08303980586396796,0.1006837804430636,-0.01823895724309807,0.00694086511779308,-0.026363131257805025
2011-06-30,-0.0037068478474590275,0.01411377848836164,-0.03753686259331465,-0.0022575502168076106,-0.028238004656441513,-0.04564570015597308
2011-07-31,0.08696064077536958,-0.053738222823566294,0.043067359970235995,-0.00459132661553698,0.015818273031193552,0.028695117518857435
2011-08-31,0.04637173645764544,0.038415545838110896,0.06622438374005359,0.004503937864762077,0.002990475622034522,0.006199539015652117
2011-09-30,-0.015473719296747606,-0.045165454054028185,-0.05288513301046581,0.006417559757771594,-0.004557921874656389,-0.03469882699223162
2011-10-31,0.035128002179298234,0.10299606430105236,0.007833225075673994,0.021761708392158862,-0.03130254648166392,-0.034852363161908484
2011-11-30,-0.015170884640623113,-0.03699519754017422,-0.2148887138048351,0.012504238381860502,-0.01807085322273331,-0.006073540978703846
2011-12-31,-0.015286487678512845,-0.009323690972340535,-0.05970713489340029,-0.0027690365566240306,0.03521564903303024,0.054070645758681785
2012-01-31,0.020098113578301706,0.05881103304218019,-0.005679770597521224,-0.00598414671348358,0.02503668750497523,-0.0037877405409081433
2012-02-29,-0.08766401223288989,-0.06385185898603732,-0.07534482273753948,0.007919191715065058,-0.03410220979194205,-0.04109428859354318
2012-03-31,-0.07824589162565165,0.023647596076247765,0.12626879127521448,-0.010202332070206422,0.008973292217169035,-0.003372291922578329
2012-04-30,-0.020114376462048635,0.08842856525694567,-0.0881098964572443,0.02131458765854354,0.03505548493487156,-0.004181707092430114
2012-05-31,-0.04264155601672119,-0.08644899407367365,-0.018803114068788866,0.01479440120721287,-0.06177621124485488,-0.07690659928824714
2012-06-30,0.023712366629763695,0.021078031511938253,0.021151840410026393,-0.0016917565210470484,0.026734407695197405,0.002371154004465634
2012-07-31,-0.03740120377606055,0.025592967654905412,0.1128891302346281,-0.014131345290908776,-0.02150495035783387,-0.0029280359062603383
2012-08-31,-0.06261518506676458,0.056909372306638624,-0.08851035058256077,0.01653872374165413,0.027823946743726374,0.024886190944402548
2012-09-30,0.08128243844607771,-0.06421704265268492,0.09342146265084718,0.0018546015474738213,-0.025530366261700674,0.05946868284836035
2012-10-31,-0.003288815024326784,-0.06922739678505659,0.012716314271371093,0.015378163119734618,-0.06719528402658076,0.037796950886432715
2012-11-30,0.011376410234396192,0.04131649393701386,-0.05670560557335658,-0.01294427658794367,-0.060101697515326506,-0.004066660716644917
2012-12-31,-0.06323740931067284,0.027819080393991162,0.04434724319842896,-0.002993750229537729,0.00692339786645528,-0.029195777262250106
2013-01-31,-0.019219136226259134,0.025029571020752595,0.025934178690142903,0.003052436997181832,0.015388900068859276,0.08120079409749581
2013-02-28,0.013546129485493306,0.030786892569818543,-0.030015181401115632,0.0034698059376474205,-0.031172665004176345,0.005776553020434647
2013-03-31,-0.049549678871115145,-0.030801483294709442,0.016886145949301323,-0.0015006547147924367,0.03054369835109496,0.0044178787573883865
