bond_code,weight,modified_duration,ytm,credit_rating,years_to_maturity,dy_treasury,dy_credit,total_return,coupon_effect,treasury_effect,credit_effect
100000,0.025728959312092962,2.549172056801505,0.0004313252137833452,A,0.1,0.0010000000000000009,0.0,-0.0024428178944987645,0.00010635416230274263,-0.0025491720568015072,-0.0
100001,0.16503847901602492,4.228296095500716,0.00041195232739050196,AAA,0.1,0.0010000000000000009,0.0,-0.004126718809294843,0.00010157728620587719,-0.00422829609550072,-0.0
100002,0.07219433218925057,2.154748345018483,0.00031091836742043087,AA,0.1,0.0010000000000000009,0.0,-0.0020780835420928993,7.666480292558569e-05,-0.002154748345018485,-0.0
100003,0.050054675189054626,6.09194180935452,0.0005328560711673943,AAA,0.1,0.0010000000000000009,0.0,-0.005960552641121469,0.00013138916823305613,-0.006091941809354525,-0.0
100004,0.009300166543734011,3.164509917200076,0.00042965963994656074,A,0.1,0.0010000000000000009,0.0,-0.0030585664443365437,0.00010594347286353552,-0.003164509917200079,-0.0
100005,0.009298599643474363,4.9813502795929185,0.0004584354799119114,A,0.1,0.0010000000000000009,0.0,-0.004868311394135192,0.00011303888545773158,-0.004981350279592923,-0.0
100006,0.003280830884738854,3.4026998424023494,0.0005141403517045773,AA,0.1,0.0010000000000000009,0.0,-0.0032759255091053333,0.00012677433329701904,-0.003402699842402352,-0.0
100007,0.11027145928882934,4.340306095300148,0.00043730621444013795,AAA,0.1,0.0010000000000000009,0.0,-0.004232477165712172,0.00010782892958797921,-0.004340306095300152,-0.0
100008,0.05039129623391345,4.460196257044759,0.00033869010575131417,A,0.1,0.0010000000000000009,0.0,-0.004376683628229371,8.351262881539253e-05,-0.004460196257044763,-0.0
100009,0.06750679071779954,2.8318450498648717,0.0002816482779490812,AA,0.1,0.0010000000000000009,0.0,-0.00276239752927469,6.944752059018439e-05,-0.0028318450498648743,-0.0
100010,0.0011403812887765643,6.363130824940513,0.00038696037114487313,A,0.1,0.0010000000000000009,0.0,-0.006267715938904796,9.541488603572213e-05,-0.0063631308249405185,-0.0
100011,0.19209251524085638,5.488097705125016,0.0003155321311650501,A,0.1,0.0010000000000000009,0.0,-0.005410295261824049,7.780244330097126e-05,-0.005488097705125021,-0.0
100012,0.09794608671806303,6.227745237038851,0.0003749529843611099,AAA,0.1,0.0010000000000000009,0.0,-0.0061352910765114605,9.245416052739695e-05,-0.006227745237038857,-0.0
100013,0.013086728736729336,6.026723076924419,0.0005149840776756605,A,0.1,0.0010000000000000009,0.0,-0.005899740701607138,0.00012698237531728616,-0.006026723076924425,-0.0
100014,0.011002797007967588,4.690549904649883,0.0003473035063015822,AAA,0.1,0.0010000000000000009,0.0,-0.004604913423644017,8.563648100586958e-05,-0.004690549904649887,-0.0
100015,0.011108748209309249,6.1484340576040255,0.000286626386410202,A,0.1,0.0010000000000000009,0.0,-0.006077759058215214,7.067499938881694e-05,-0.006148434057604031,-0.0
100016,0.019889006188464346,2.398216259233638,0.00035688935142309244,AA,0.1,0.0010000000000000009,0.0,-0.0023102161451841103,8.800011404952964e-05,-0.00239821625923364,-0.0
100017,0.0407879617220433,2.8819228808861537,0.0005220485324637262,A,0.1,0.0010000000000000009,0.0,-0.002753198585210169,0.00012872429567598728,-0.0028819228808861564,-0.0
100018,0.03100718009909691,2.203522800097421,0.00033163967481539063,AAA,0.1,0.0010000000000000009,0.0,-0.002121748633704587,8.177416639283604e-05,-0.002203522800097423,-0.0
100019,0.01887300576978072,3.4639864884346894,0.00044430703616240864,AAA,0.1,0.0010000000000000009,0.0,-0.0033544313288330027,0.00010955515960168979,-0.0034639864884346925,-0.0
