period,buy_amount,repay_amount,balance,buy_amount_yoy,indicator_name
2017-07-31/2017-08-06,292783941757.0,281524544226.0,532820207518.0,0.8923483683610449,margin_borrow_amount_W_yoy
2017-08-07/2017-08-13,264209281783.0,261446234860.0,369512862164.0,0.5925278633177733,margin_borrow_amount_W_yoy
2017-08-14/2017-08-20,243057933208.0,231860400246.0,374318362951.0,0.5202584121220428,margin_borrow_amount_W_yoy
2017-08-21/2017-08-27,223276765739.0,216637299430.0,376652174003.0,1.502573486356289,margin_borrow_amount_W_yoy
2017-08-28/2017-09-03,302146332803.0,281879202685.0,560256965769.0,0.8811337799696728,margin_borrow_amount_W_yoy
2017-09-04/2017-09-10,302099684808.0,284127414825.0,568868703562.0,0.8825245116447005,margin_borrow_amount_W_yoy
2017-09-11/2017-09-17,319561717131.0,301643745544.0,400280335840.0,0.748933126453182,margin_borrow_amount_W_yoy
2017-09-18/2017-09-24,271369000861.0,263122713474.0,583454267943.0,0.4418453876730286,margin_borrow_amount_W_yoy
2017-09-25/2017-10-01,205951612152.0,227360149309.0,395617878935.0,0.020766677783714327,margin_borrow_amount_W_yoy
2017-10-09/2017-10-15,265520729955.0,241629346849.0,407030215382.0,0.19824006743428746,margin_borrow_amount_W_yoy
2017-10-16/2017-10-22,207885036886.0,215338759765.0,403490065193.0,-0.1691296101478008,margin_borrow_amount_W_yoy
2017-10-23/2017-10-29,218461325735.0,208287715346.0,586980537209.0,-0.11803295926856094,margin_borrow_amount_W_yoy
2017-10-30/2017-11-05,241848633811.0,238858874414.0,406006680419.0,-0.17396892616561066,margin_borrow_amount_W_yoy
2017-11-06/2017-11-12,277315918129.0,254543376040.0,602677946214.0,0.04960702461908473,margin_borrow_amount_W_yoy
2017-11-13/2017-11-19,299548362819.0,294987830281.0,417228251977.0,0.23241549397467143,margin_borrow_amount_W_yoy
2017-11-20/2017-11-26,288060718532.0,285691945522.0,417200554483.0,0.29015089222821056,margin_borrow_amount_W_yoy
2017-11-27/2017-12-03,210250014547.0,213280398280.0,605049876092.0,-0.30414507236768806,margin_borrow_amount_W_yoy
2017-12-04/2017-12-10,188912546140.0,201682780946.0,595997613220.0,-0.37466817861771784,margin_borrow_amount_W_yoy
2017-12-11/2017-12-17,187210258406.0,181959592117.0,599973160706.0,-0.4141655637391143,margin_borrow_amount_W_yoy
2017-12-18/2017-12-24,175396010511.0,173667882630.0,600752458618.0,-0.35366231973989937,margin_borrow_amount_W_yoy
2017-12-25/2017-12-31,193176826618.0,187601646879.0,416475993105.0,-0.0620280919411873,margin_borrow_amount_W_yoy
2018-01-01/2018-01-07,204767575094.0,197711711043.0,611033498008.0,-0.2288075769876663,margin_borrow_amount_W_yoy
2018-01-08/2018-01-14,269570945094.0,254824306478.0,423711946855.0,0.29673087169726076,margin_borrow_amount_W_yoy
2018-01-15/2018-01-21,305501094581.0,288003717568.0,636018905560.0,0.39842186507456145,margin_borrow_amount_W_yoy
2018-01-22/2018-01-28,307301367124.0,294084318365.0,646634615949.0,0.27063511702179,margin_borrow_amount_W_yoy
2018-01-29/2018-02-04,261388563010.0,282905230836.0,421722516810.0,-0.0574339735939392,margin_borrow_amount_W_yoy
2018-02-05/2018-02-11,242923804707.0,287748896887.0,604833557210.0,-0.18903310830717168,margin_borrow_amount_W_yoy
2018-02-12/2018-02-18,76802360943.0,106961853853.0,390176660654.0,-0.7333813463550456,margin_borrow_amount_W_yoy
2018-02-19/2018-02-25,67584088534.0,62691443858.0,590318411364.0,-0.6785537034106031,margin_borrow_amount_W_yoy
2018-02-26/2018-03-04,213476684523.0,203405416275.0,595361568569.0,0.1300291530918012,margin_borrow_amount_W_yoy
2018-03-05/2018-03-11,207436668711.0,205339981993.0,597050145863.0,0.10804114302932755,margin_borrow_amount_W_yoy
2018-03-12/2018-03-18,225300903793.0,218836702032.0,600603525889.0,0.28452695780597703,margin_borrow_amount_W_yoy
2018-03-19/2018-03-25,205000975450.0,216681856038.0,395824586161.0,0.06120894021818568,margin_borrow_amount_W_yoy
2018-03-26/2018-04-01,219394688575.0,213248608629.0,396907457138.0,0.07143276211717264,margin_borrow_amount_W_yoy
2018-04-02/2018-04-08,127934912723.0,130885728821.0,598181552536.0,-0.525412827119077,margin_borrow_amount_W_yoy
2018-04-09/2018-04-15,183364969488.0,181947023372.0,394396563851.0,-0.39978948442234485,margin_borrow_amount_W_yoy
2018-04-16/2018-04-22,195159917827.0,203352985495.0,596545372671.0,-0.3649233660966744,margin_borrow_amount_W_yoy
2018-04-23/2018-04-29,177831179966.0,184965901212.0,592867415552.0,-0.31966732622805427,margin_borrow_amount_W_yoy
2018-04-30/2018-05-06,94661522888.0,98812763302.0,384316734743.0,-0.6103242207894158,margin_borrow_amount_W_yoy
2018-05-07/2018-05-13,177057909859.0,172497265002.0,592719427747.0,1.3053706641961975,margin_borrow_amount_W_yoy
2018-05-14/2018-05-20,160923862963.0,158517199255.0,387573181030.0,1.3810909705772372,margin_borrow_amount_W_yoy
2018-05-21/2018-05-27,177343464692.0,169812904060.0,598455827921.0,-0.16926073173628942,margin_borrow_amount_W_yoy
2018-05-28/2018-06-03,153211640506.0,163874258202.0,592445445276.0,-0.2614052208895916,margin_borrow_amount_W_yoy
2018-06-04/2018-06-10,136423654910.0,142768164810.0,383154196980.0,-0.39448243387721993,margin_borrow_amount_W_yoy
2018-06-11/2018-06-17,124366658253.0,137566164667.0,581569561529.0,-0.3933362610592398,margin_borrow_amount_W_yoy
2018-06-18/2018-06-24,106795885444.0,146373437606.0,361269016745.0,-0.5132248363091441,margin_borrow_amount_W_yoy
2018-06-25/2018-07-01,115991489321.0,122547670415.0,553522416883.0,-0.09335546605530165,margin_borrow_amount_W_yoy
2018-07-02/2018-07-08,122723273623.0,136824808414.0,543489414407.0,-0.3307158179358167,margin_borrow_amount_W_yoy
2018-07-09/2018-07-15,125519559233.0,133727511838.0,538340528874.0,-0.3568374047776187,margin_borrow_amount_W_yoy
2018-07-16/2018-07-22,119934088199.0,124119593911.0,351507465893.0,-0.32557334308904373,margin_borrow_amount_W_yoy
2018-07-23/2018-07-29,158760960006.0,160085337929.0,351240674761.0,0.6771435231803746,margin_borrow_amount_W_yoy
2018-07-30/2018-08-05,117098570204.0,125717761934.0,528810410344.0,-0.3386425362343235,margin_borrow_amount_W_yoy
2018-08-06/2018-08-12,116141533581.0,126403604569.0,343446359033.0,-0.278282714306308,margin_borrow_amount_W_yoy
2018-08-13/2018-08-19,107070343007.0,109284729125.0,341256647225.0,-0.3962543632890354,margin_borrow_amount_W_yoy
2018-08-20/2018-08-26,94057070095.0,103080232503.0,337406482191.0,-0.3860971021237999,margin_borrow_amount_W_yoy
2018-08-27/2018-09-02,104500078706.0,109191045792.0,513956376664.0,-0.2340032322478114,margin_borrow_amount_W_yoy
2018-09-03/2018-09-09,97646470176.0,101922970860.0,511137883134.0,-0.2148500928813487,margin_borrow_amount_W_yoy
2018-09-10/2018-09-16,86015925893.0,94204878361.0,506009498734.0,-0.19457640586627545,margin_borrow_amount_W_yoy
2018-09-17/2018-09-23,102231649407.0,113691892664.0,498777152833.0,-0.11862801309430904,margin_borrow_amount_W_yoy
2018-09-24/2018-09-30,87435707874.0,98646947755.0,492989890192.0,-0.28753768301032867,margin_borrow_amount_W_yoy
2018-10-08/2018-10-14,111214248543.0,133287459796.0,482668130673.0,-0.11396877727594057,margin_borrow_amount_W_yoy
2018-10-15/2018-10-21,88716696495.0,150796813880.0,297963829324.0,-0.2602878979010763,margin_borrow_amount_W_yoy
2018-10-22/2018-10-28,134093338253.0,134729618005.0,467169473732.0,-0.15537586666185277,margin_borrow_amount_W_yoy
2018-10-29/2018-11-04,136110488166.0,141156057796.0,294347716183.0,0.1623582416837277,margin_borrow_amount_W_yoy
2018-11-05/2018-11-11,123887877580.0,121671404595.0,294386514892.0,0.0666974488811749,margin_borrow_amount_W_yoy
2018-11-12/2018-11-18,168416565830.0,161875358866.0,296069634259.0,0.5729525198120391,margin_borrow_amount_W_yoy
2018-11-19/2018-11-25,149371550991.0,148499468319.0,472689959467.0,0.5880948751660133,margin_borrow_amount_W_yoy
2018-11-26/2018-12-02,99211693619.0,105912378733.0,468743399761.0,-0.05060651774127667,margin_borrow_amount_W_yoy
2018-12-03/2018-12-09,125899673319.0,124845665825.0,469305526326.0,0.2893417764316093,margin_borrow_amount_W_yoy
2018-12-10/2018-12-16,91855555662.0,96111783610.0,467350549615.0,0.06789009951789904,margin_borrow_amount_W_yoy
2018-12-17/2018-12-23,81770951385.0,83020525174.0,291132816054.0,-0.20014054493577427,margin_borrow_amount_W_yoy
2018-12-24/2018-12-30,82193800429.0,90831620357.0,286993502566.0,-0.059951564097289634,margin_borrow_amount_W_yoy
2018-12-31/2019-01-06,57974434602.0,56790880773.0,462250410730.0,-0.4787139655078936,margin_borrow_amount_W_yoy
2019-01-07/2019-01-13,119295521571.0,122119249848.0,286921769945.0,0.3446794829395321,margin_borrow_amount_W_yoy
2019-01-14/2019-01-20,110417695637.0,117340467922.0,283545769472.0,-0.17656091588480027,margin_borrow_amount_W_yoy
2019-01-21/2019-01-27,105976012244.0,111087422733.0,452458688565.0,-0.22139716290818146,margin_borrow_amount_W_yoy
2019-01-28/2019-02-03,97114288853.0,121295365825.0,272439753468.0,-0.2161114489164695,margin_borrow_amount_W_yoy
2019-02-11/2019-02-17,182071670668.0,160618962374.0,449451785567.0,0.08107934496053959,margin_borrow_amount_W_yoy
2019-02-18/2019-02-24,272757376944.0,247927925553.0,295248672010.0,0.826032970364178,margin_borrow_amount_W_yoy
2019-02-25/2019-03-03,441960247924.0,402947731288.0,311665859282.0,3.454719315862584,margin_borrow_amount_W_yoy
2019-03-04/2019-03-10,559247165628.0,500493395928.0,334996559517.0,3.4420064872686362,margin_borrow_amount_W_yoy
2019-03-11/2019-03-17,456225851755.0,433876055723.0,342392046479.0,3.9667747200155192,margin_borrow_amount_W_yoy
2019-03-18/2019-03-24,413823403661.0,389453404879.0,549160945947.0,4.060762980640964,margin_borrow_amount_W_yoy
2019-03-25/2019-03-31,360646573822.0,349098799994.0,555919750875.0,3.387758832657104,margin_borrow_amount_W_yoy
2019-04-01/2019-04-07,425607191025.0,401920324458.0,366922931199.0,6.341290931888061,margin_borrow_amount_W_yoy
2019-04-08/2019-04-14,432022986278.0,411842488818.0,375940236699.0,2.621451841516757,margin_borrow_amount_W_yoy
2019-04-15/2019-04-21,386225969637.0,367768350324.0,384366095661.0,2.497862977567692,margin_borrow_amount_W_yoy
2019-04-22/2019-04-28,327578346416.0,329281742893.0,383935142078.0,2.091061264522589,margin_borrow_amount_W_yoy
2019-04-29/2019-05-05,86846929397.0,108208612877.0,577865182474.0,-0.10572449818936014,margin_borrow_amount_W_yoy
2019-05-06/2019-05-12,217219949952.0,235480142661.0,364684794964.0,0.19304639296736825,margin_borrow_amount_W_yoy
2019-05-13/2019-05-19,196141410366.0,205898861352.0,563665781997.0,-0.2808942050858998,margin_borrow_amount_W_yoy
2019-05-20/2019-05-26,167521343341.0,175617556401.0,557750049494.0,-0.6209583460777515,margin_borrow_amount_W_yoy
2019-05-27/2019-06-02,175719232855.0,177290272207.0,555440566101.0,-0.6857932526887675,margin_borrow_amount_W_yoy
2019-06-03/2019-06-09,115470636401.0,128486909864.0,546661467639.0,-0.7469002776655247,margin_borrow_amount_W_yoy
2019-06-10/2019-06-16,180735130287.0,180660310580.0,356505090576.0,-0.5632554159864376,margin_borrow_amount_W_yoy
2019-06-17/2019-06-23,189266904447.0,190035648226.0,544809211659.0,-0.4752011576285924,margin_borrow_amount_W_yoy
2019-06-24/2019-06-30,181896847397.0,181036368362.0,545403611820.0,-0.5726180120243423,margin_borrow_amount_W_yoy
2019-07-01/2019-07-07,206830443188.0,199507286299.0,549758208389.0,-0.5212512996822167,margin_borrow_amount_W_yoy
2019-07-08/2019-07-14,136017196836.0,142976811437.0,357033297572.0,-0.6478300074854166,margin_borrow_amount_W_yoy
2019-07-15/2019-07-21,146501047554.0,147454168381.0,357256049991.0,-0.5527755446693823,margin_borrow_amount_W_yoy
2019-07-22/2019-07-28,135470910668.0,140824301124.0,539752245878.0,0.5598814098392251,margin_borrow_amount_W_yoy
2019-07-29/2019-08-04,143938148074.0,145330976644.0,538926998030.0,-0.33736220772628567,margin_borrow_amount_W_yoy
2019-08-05/2019-08-11,139416134041.0,153214016363.0,531240738575.0,-0.289206018347429,margin_borrow_amount_W_yoy
2019-08-12/2019-08-18,144417599012.0,143004958150.0,351303432525.0,-0.13791522840149928,margin_borrow_amount_W_yoy
2019-08-19/2019-08-25,222541995474.0,201744416481.0,534954183704.0,0.26646350463888724,margin_borrow_amount_W_yoy
2019-08-26/2019-09-01,224158757621.0,213719728164.0,538541616594.0,0.9412619918587262,margin_borrow_amount_W_yoy
2019-09-02/2019-09-08,303031105452.0,284732305008.0,541315600123.0,0.676658571971033,margin_borrow_amount_W_yoy
2019-09-09/2019-09-15,261591640130.0,246462938065.0,545974771941.0,0.38213091662442733,margin_borrow_amount_W_yoy
2019-09-16/2019-09-22,251889786708.0,240890278182.0,407681840327.0,0.38479468068094946,margin_borrow_amount_W_yoy
2019-09-23/2019-09-29,224818375778.0,235001403119.0,543547417610.0,0.08696946306714493,margin_borrow_amount_W_yoy
2019-09-30/2019-10-06,25709894919.0,35806206638.0,538791089316.0,-0.8109805560101404,margin_borrow_amount_W_yoy
2019-10-07/2019-10-13,143387967788.0,136025080738.0,541053440557.0,-0.0212495392898302,margin_borrow_amount_W_yoy
2019-10-14/2019-10-20,195169378131.0,192292502319.0,541397950787.0,0.44067370012226226,margin_borrow_amount_W_yoy
2019-10-21/2019-10-27,156318920495.0,152843856616.0,543351773604.0,0.08601453184346175,margin_borrow_amount_W_yoy
2019-10-28/2019-11-03,213618779076.0,211101506466.0,542675980074.0,0.5322385787370794,margin_borrow_amount_W_yoy
2019-11-04/2019-11-10,207081051622.0,203966879881.0,543255280042.0,0.43390454514337384,margin_borrow_amount_W_yoy
2019-11-11/2019-11-17,164691315961.0,167261905295.0,412414846741.0,-0.25995398931236247,margin_borrow_amount_W_yoy
2019-11-18/2019-11-24,179455322582.0,177473618220.0,542558701610.0,-0.1994275642559683,margin_borrow_amount_W_yoy
2019-11-25/2019-12-01,150270107185.0,153636670320.0,411407975807.0,-0.5041099594021621,margin_borrow_amount_W_yoy
2019-12-02/2019-12-08,168783446330.0,161626778347.0,542900227729.0,-0.3547827207088049,margin_borrow_amount_W_yoy
2019-12-09/2019-12-15,224440747903.0,215636382076.0,423422868505.0,-0.10897241672136526,margin_borrow_amount_W_yoy
2019-12-16/2019-12-22,331825818086.0,304837466043.0,555035446253.0,0.4759728466932167,margin_borrow_amount_W_yoy
2019-12-23/2019-12-29,265962337560.0,260811962638.0,555111529883.0,9.344746191998235,margin_borrow_amount_W_yoy
2019-12-30/2020-01-05,272450929510.0,259645447418.0,449511452527.0,0.9000961776152683,margin_borrow_amount_W_yoy
2020-01-06/2020-01-12,383963031263.0,364047632266.0,570739934602.0,0.9673323496746475,margin_borrow_amount_W_yoy
2020-01-13/2020-01-19,330403211377.0,321243915752.0,575491812969.0,1.1136482412413296,margin_borrow_amount_W_yoy
2020-01-20/2020-01-26,299969819285.0,314071128658.0,568373798279.0,0.40422963085225083,margin_borrow_amount_W_yoy
2020-02-03/2020-02-09,401939507559.0,401315236940.0,561920858486.0,0.9409767548055976,margin_borrow_amount_W_yoy
2020-02-10/2020-02-16,428521570430.0,416809771536.0,474107708344.0,1.6019682211506328,margin_borrow_amount_W_yoy
2020-02-17/2020-02-23,584925921594.0,540921367645.0,579970674213.0,2.2594515068045697,margin_borrow_amount_W_yoy
2020-02-24/2020-03-01,657164173469.0,651994961099.0,582209646574.0,3.373219569611103,margin_borrow_amount_W_yoy
2020-03-02/2020-03-08,562818137776.0,539798177488.0,520357505604.0,2.334557683314488,margin_borrow_amount_W_yoy
2020-03-09/2020-03-15,476422612159.0,487722308544.0,585866095442.0,1.1227099651481418,margin_borrow_amount_W_yoy
2020-03-16/2020-03-22,369266563660.0,395541995030.0,573455088179.0,0.11283252698648183,margin_borrow_amount_W_yoy
2020-03-23/2020-03-29,294495799518.0,313901251730.0,565477732570.0,0.1072838440952677,margin_borrow_amount_W_yoy
2020-03-30/2020-04-05,246916556576.0,263076508013.0,554642771517.0,-0.09372099768543019,margin_borrow_amount_W_yoy
2020-04-06/2020-04-12,248472685640.0,247984643646.0,552122826513.0,-0.3528734138214319,margin_borrow_amount_W_yoy
2020-04-13/2020-04-19,268534383305.0,268862846016.0,551148283066.0,-0.18725250222040313,margin_borrow_amount_W_yoy
2020-04-20/2020-04-26,274101576187.0,272848487614.0,550033499023.0,-0.08623615255580996,margin_borrow_amount_W_yoy
2020-04-27/2020-05-03,212723866063.0,229826236770.0,481540744235.0,-0.47075651419567255,margin_borrow_amount_W_yoy
2020-05-04/2020-05-10,196514053387.0,177040594734.0,490899643352.0,-0.5414138588407394,margin_borrow_amount_W_yoy
2020-05-11/2020-05-17,279760010558.0,266229053937.0,499245047244.0,-0.5217171948960353,margin_borrow_amount_W_yoy
2020-05-18/2020-05-24,287070263838.0,287919451098.0,556339825469.0,-0.5631681162370277,margin_borrow_amount_W_yoy
2020-05-25/2020-05-31,218344973401.0,219594690286.0,555018097562.0,-0.6120505741627313,margin_borrow_amount_W_yoy
2020-06-01/2020-06-07,323057969730.0,304993974569.0,562693813584.0,-0.32190882320635217,margin_borrow_amount_W_yoy
2020-06-08/2020-06-14,294055139874.0,283006716108.0,567784675205.0,-0.20367786089414386,margin_borrow_amount_W_yoy
2020-06-15/2020-06-21,353151867740.0,333038648708.0,574584041996.0,0.19917454957932224,margin_borrow_amount_W_yoy
2020-06-22/2020-06-28,230393766058.0,220525554541.0,531535032601.0,-0.06691649497758301,margin_borrow_amount_W_yoy
2020-06-29/2020-07-05,510038034992.0,453748427727.0,606187612076.0,1.0526925673068521,margin_borrow_amount_W_yoy
2020-07-06/2020-07-12,977475250385.0,842390080681.0,678735135575.0,2.640037593527785,margin_borrow_amount_W_yoy
2020-07-13/2020-07-19,813224846194.0,788386858392.0,696844708851.0,1.9668740235159925,margin_borrow_amount_W_yoy
2020-07-20/2020-07-26,613480229006.0,606967668306.0,640462332153.0,1.8839276022950457,margin_borrow_amount_W_yoy
2020-07-27/2020-08-02,510777188908.0,479783086474.0,715121775818.0,1.5991891170353796,margin_borrow_amount_W_yoy
2020-08-03/2020-08-09,683215769274.0,651472545483.0,729497666990.0,1.4421494977473035,margin_borrow_amount_W_yoy
2020-08-10/2020-08-16,481216268202.0,491006942242.0,723080350545.0,0.676301340892489,margin_borrow_amount_W_yoy
2020-08-17/2020-08-23,491736795500.0,471494027129.0,678673981817.0,1.2521095303481253,margin_borrow_amount_W_yoy
2020-08-24/2020-08-30,404579533408.0,404529946889.0,732783678329.0,0.25234345323884977,margin_borrow_amount_W_yoy
2020-08-31/2020-09-06,417326272565.0,399925231992.0,694414118970.0,0.4192109437155922,margin_borrow_amount_W_yoy
2020-09-07/2020-09-13,353712764921.0,375679020668.0,683200397189.0,0.0015882605537087535,margin_borrow_amount_W_yoy
2020-09-14/2020-09-20,302461108164.0,296979788950.0,685514370490.0,0.3128007469084799,margin_borrow_amount_W_yoy
2020-09-21/2020-09-27,275579034904.0,277992817808.0,730801783480.0,-0.4596892466885877,margin_borrow_amount_W_yoy
2020-09-28/2020-10-04,118118086369.0,143854937197.0,718773947637.0,-0.879160023414939,margin_borrow_amount_W_yoy
2020-10-05/2020-10-11,64475920373.0,53579826956.0,722623954673.0,-0.9207157520152565,margin_borrow_amount_W_yoy
2020-10-12/2020-10-18,358589509352.0,334128258473.0,730157187663.0,-0.4154831852804618,margin_borrow_amount_W_yoy
2020-10-19/2020-10-25,278484260509.0,284735177485.0,728885246959.0,-0.454783286026581,margin_borrow_amount_W_yoy
2020-10-26/2020-11-01,288118160523.0,292868567395.0,726579583483.0,-0.578291114636946,margin_borrow_amount_W_yoy
2020-11-02/2020-11-08,346259810662.0,332545265820.0,730307648470.0,-0.28044865990139256,margin_borrow_amount_W_yoy
2020-11-09/2020-11-15,393537997471.0,383093728270.0,703132461055.0,-0.19969788498164154,margin_borrow_amount_W_yoy
2020-11-16/2020-11-22,346502911683.0,340121633581.0,737865462670.0,-0.14354809605861196,margin_borrow_amount_W_yoy
2020-11-23/2020-11-29,375798760535.0,368471947418.0,743489604691.0,-0.09950850152510338,margin_borrow_amount_W_yoy
2020-11-30/2020-12-06,404555817132.0,388356775201.0,754258913777.0,0.14374107256874247,margin_borrow_amount_W_yoy
2020-12-07/2020-12-13,325068973578.0,330206926433.0,710279304157.0,0.07474635516359207,margin_borrow_amount_W_yoy
2020-12-14/2020-12-20,314820563684.0,306949750076.0,712463513570.0,0.14239664056327817,margin_borrow_amount_W_yoy
2020-12-21/2020-12-27,414415708067.0,403409313379.0,767303833177.0,2.5084864715160426,margin_borrow_amount_W_yoy
2020-12-28/2021-01-03,321633332960.0,322455682611.0,713657084317.0,3.988425618421843,margin_borrow_amount_W_yoy
2021-01-04/2021-01-10,595697574679.0,551457403813.0,792770084113.0,0.6612242108127293,margin_borrow_amount_W_yoy
2021-01-11/2021-01-17,576396979148.0,566179199515.0,801616826104.0,1.0697650132703718,margin_borrow_amount_W_yoy
2021-01-18/2021-01-24,516047337810.0,492207355347.0,815403994518.0,0.7910961838478237,margin_borrow_amount_W_yoy
2021-01-25/2021-01-31,466626347814.0,486732389338.0,731709803628.0,0.34761913870938743,margin_borrow_amount_W_yoy
2021-02-01/2021-02-07,404559837439.0,426742779712.0,798537947597.0,0.028007054055338543,margin_borrow_amount_W_yoy
2021-02-08/2021-02-14,234138258894.0,253031026051.0,711250104283.0,-0.3242819872515166,margin_borrow_amount_W_yoy
2021-02-15/2021-02-21,223824315520.0,194799100755.0,802437603320.0,-0.40440379526170855,margin_borrow_amount_W_yoy
2021-02-22/2021-02-28,483396493127.0,480663434506.0,806306694237.0,0.19488207227848497,margin_borrow_amount_W_yoy
2021-03-01/2021-03-07,381601853721.0,385552787172.0,806221304478.0,0.17391041513666639,margin_borrow_amount_W_yoy
2021-03-08/2021-03-14,348606331405.0,366976955037.0,798267706264.0,0.10731753772892794,margin_borrow_amount_W_yoy
2021-03-15/2021-03-21,307495402912.0,307713187461.0,797113296291.0,-0.2580025396569037,margin_borrow_amount_W_yoy
2021-03-22/2021-03-28,290767890754.0,292772297599.0,711445323866.0,-0.0959646872478811,margin_borrow_amount_W_yoy
2021-03-29/2021-04-04,287930565322.0,289907428267.0,794150731478.0,-0.5166497606152662,margin_borrow_amount_W_yoy
2021-04-05/2021-04-11,238450414578.0,227750012339.0,799847556152.0,-0.5863087018074504,margin_borrow_amount_W_yoy
2021-04-12/2021-04-18,266442599975.0,272722730859.0,712508759894.0,-0.4836857387817788,margin_borrow_amount_W_yoy
2021-04-19/2021-04-25,332492600999.0,328826902639.0,717074220454.0,-0.28745429280488577,margin_borrow_amount_W_yoy
2021-04-26/2021-05-02,354866909673.0,368292307452.0,709203424877.0,-0.12283208358143749,margin_borrow_amount_W_yoy
2021-05-03/2021-05-09,156769314110.0,149485687551.0,797991832859.0,-0.3304412749521076,margin_borrow_amount_W_yoy
2021-05-10/2021-05-16,364378216927.0,351031204760.0,804800999074.0,0.6279652909044222,margin_borrow_amount_W_yoy
2021-05-17/2021-05-23,378784132771.0,362033175794.0,810670237086.0,-0.21641108664087016,margin_borrow_amount_W_yoy
2021-05-24/2021-05-30,435945342347.0,418109404243.0,737460262427.0,0.1424088696008592,margin_borrow_amount_W_yoy
2021-05-31/2021-06-06,443631631195.0,425468419644.0,744129888455.0,0.27258627061366414,margin_borrow_amount_W_yoy
2021-06-07/2021-06-13,427072915777.0,417178629330.0,749771859021.0,0.3888757741826179,margin_borrow_amount_W_yoy
2021-06-14/2021-06-20,325553886147.0,317798325870.0,749886390347.0,0.11963492702992506,margin_borrow_amount_W_yoy
2021-06-21/2021-06-27,450201798839.0,433229224483.0,759218317688.0,0.5635776574658824,margin_borrow_amount_W_yoy
2021-06-28/2021-07-04,448718450066.0,444482810912.0,856383116685.0,0.881810316245933,margin_borrow_amount_W_yoy
2021-07-05/2021-07-11,484415417230.0,464888885807.0,866811908074.0,0.8180854610916277,margin_borrow_amount_W_yoy
