date,signal_type,mean_return,total_return,num_positions,industries,cumulative
2018-01-08,long,-0.9059980266897916,-0.9059980266897916,10,"['传媒', '农林牧渔', '医药生物', '国防军工', '家用电器', '建筑材料', '有色金属', '汽车', '电力设备', '钢铁']",0.9909400197331021
2018-01-15,long,0.6118641773382949,0.6118641773382949,9,"['农林牧渔', '医药生物', '国防军工', '基础化工', '家用电器', '房地产', '煤炭', '通信', '银行']",0.997003226732758
2018-01-22,long,2.0563940503802725,2.0563940503802725,6,"['交通运输', '医药生物', '家用电器', '有色金属', '电力设备', '钢铁']",1.0175055417693897
2018-01-29,long,4.855176472546585,4.855176472546585,2,"['公用事业', '煤炭']",1.0669072314402348
2018-02-05,long,-7.851758351021443,-7.851758351021443,1,['传媒'],0.9831362537979745
2018-02-12,long,0.6512818654336616,0.6512818654336616,4,"['计算机', '通信', '银行', '食品饮料']",0.9895392419314646
2018-02-26,long,0.6265209662125848,0.6265209662125848,7,"['传媒', '基础化工', '建筑材料', '房地产', '计算机', '银行', '非银金融']",0.9957389127510663
2018-03-12,long,-0.6741294501738104,-0.6741294501738104,3,"['房地产', '有色金属', '非银金融']",0.9890263434933708
2018-03-19,long,0.0,0.0,4,"['交通运输', '公用事业', '建筑材料', '房地产']",0.9890263434933708
2018-03-26,long,0.0,0.0,5,"['公用事业', '医药生物', '家用电器', '建筑材料', '电子']",0.9890263434933708
2018-04-02,long,0.0,0.0,1,['钢铁'],0.9890263434933708
2018-04-09,long,-0.26964691416306863,-0.26964691416306863,2,"['传媒', '食品饮料']",0.9863594644778811
2018-04-16,long,0.0,0.0,2,"['交通运输', '汽车']",0.9863594644778811
2018-04-23,long,-1.1455556274147738,-1.1455556274147738,2,"['电力设备', '电子']",0.9750601681260166
2018-05-07,long,0.0,0.0,1,['汽车'],0.9750601681260166
2018-05-14,long,0.0,0.0,1,['电子'],0.9750601681260166
2018-05-21,long,0.0,0.0,1,['基础化工'],0.9750601681260166
2018-05-28,long,-3.4825699181241565,-3.4825699181241565,5,"['公用事业', '家用电器', '建筑材料', '非银金融', '食品饮料']",0.9411030160272491
2018-06-04,long,-0.39444600458884427,-0.39444600458884427,1,['有色金属'],0.9373908727814645
2018-06-11,long,-3.405034246956895,-3.405034246956895,3,"['传媒', '电子', '计算机']",0.9054723925354075
2018-06-18,long,-8.708147814765411,-8.708147814765411,2,"['基础化工', '非银金融']",0.8266225181715313
