date,signal_type,mean_return,total_return,num_positions,industries,cumulative
2018-01-08,long,-0.9059980266897916,-0.9059980266897916,10,"['传媒', '农林牧渔', '医药生物', '国防军工', '家用电器', '建筑材料', '有色金属', '汽车', '电力设备', '钢铁']",0.9909400197331021
2018-01-15,long,0.6118641773382949,0.6118641773382949,9,"['农林牧渔', '医药生物', '国防军工', '基础化工', '家用电器', '房地产', '煤炭', '通信', '银行']",0.997003226732758
2018-01-22,long,2.0563940503802725,2.0563940503802725,6,"['交通运输', '医药生物', '家用电器', '有色金属', '电力设备', '钢铁']",1.0175055417693897
2018-01-29,long,4.855176472546585,4.855176472546585,2,"['公用事业', '煤炭']",1.0669072314402348
2018-02-05,long,-7.851758351021443,-7.851758351021443,1,['传媒'],0.9831362537979745
2018-02-12,long,0.6512818654336616,0.6512818654336616,4,"['计算机', '通信', '银行', '食品饮料']",0.9895392419314646
2018-02-26,long,0.6265209662125848,0.6265209662125848,7,"['传媒', '基础化工', '建筑材料', '房地产', '计算机', '银行', '非银金融']",0.9957389127510663
2018-03-12,long,1.305166173756489,1.305166173756489,1,['有色金属'],1.008734960219224
2018-03-19,long,0.0,0.0,1,['交通运输'],1.008734960219224
2018-03-26,long,0.0,0.0,2,"['公用事业', '电子']",1.008734960219224
2018-04-09,long,0.0,0.0,1,['食品饮料'],1.008734960219224
2018-04-16,long,0.0,0.0,1,['交通运输'],1.008734960219224
2018-04-23,long,-1.1455556274147738,-1.1455556274147738,1,['电力设备'],0.9971793401167325
2018-05-07,long,0.0,0.0,1,['汽车'],0.9971793401167325
2018-05-28,long,-3.4825699181241565,-3.4825699181241565,5,"['公用事业', '家用电器', '建筑材料', '非银金融', '食品饮料']",0.9624518723880782
2018-06-11,long,-3.405034246956895,-3.405034246956895,3,"['传媒', '电子', '计算机']",0.9296800565227862
2018-07-02,long,0.0,0.0,1,['通信'],0.9296800565227862
2018-07-09,long,0.0,0.0,2,"['公用事业', '电子']",0.9296800565227862
2018-08-06,long,3.0386847827609476,3.0386847827609476,2,"['传媒', '农林牧渔']",0.9579301029287075
2018-08-20,long,0.0,0.0,1,['农林牧渔'],0.9579301029287075
2018-08-27,long,0.4501142926420787,0.4501142926420787,1,['银行'],0.9622418832355106
2018-09-17,long,4.2917505972736025,4.2917505972736025,1,['非银金融'],1.0035389050064873
2018-09-24,long,0.0,0.0,1,['房地产'],1.0035389050064873
